Dataset,Batch Size,Optimizer,Learning Rate,Pin Memory,Epochs,Model,Test Accuracy,Training Time (s),Model Path,F1 Score,Precision,Recall
FashionMNIST,16,Adam,0.0001,False,2,ResNet18,88.207143,111.234559,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.883011,0.886422,0.882071
FashionMNIST,16,Adam,0.0001,False,2,ResNet50,83.557143,219.627407,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.834082,0.838974,0.835571
FashionMNIST,16,Adam,0.0001,False,5,ResNet18,89.042857,277.461916,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.89028,0.891741,0.890429
FashionMNIST,16,Adam,0.0001,False,5,ResNet50,87.721429,546.449841,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.876625,0.878773,0.877214
FashionMNIST,16,SGD,0.001,True,2,ResNet18,88.857143,98.25615,models/FashionMNIST_ResNet18_bs16_SGD_lr0.001_pinTrue_ep2.pth,0.887369,0.888674,0.888571
FashionMNIST,16,SGD,0.001,True,2,ResNet50,86.235714,190.630813,models/FashionMNIST_ResNet50_bs16_SGD_lr0.001_pinTrue_ep2.pth,0.858336,0.860758,0.862357
FashionMNIST,16,SGD,0.001,True,5,ResNet18,90.064286,245.206425,models/FashionMNIST_ResNet18_bs16_SGD_lr0.001_pinTrue_ep5.pth,0.900476,0.901485,0.900643
FashionMNIST,16,SGD,0.001,True,5,ResNet50,89.021429,477.357599,models/FashionMNIST_ResNet50_bs16_SGD_lr0.001_pinTrue_ep5.pth,0.890181,0.890573,0.890214
FashionMNIST,16,SGD,0.0001,True,2,ResNet18,86.757143,98.362454,models/FashionMNIST_ResNet18_bs16_SGD_lr0.0001_pinTrue_ep2.pth,0.86762,0.868277,0.867571
FashionMNIST,16,SGD,0.0001,True,2,ResNet50,80.75,190.931619,models/FashionMNIST_ResNet50_bs16_SGD_lr0.0001_pinTrue_ep2.pth,0.80308,0.804164,0.8075
FashionMNIST,16,SGD,0.0001,True,5,ResNet18,88.657143,245.117549,models/FashionMNIST_ResNet18_bs16_SGD_lr0.0001_pinTrue_ep5.pth,0.886557,0.886802,0.886571
FashionMNIST,16,SGD,0.0001,True,5,ResNet50,85.114286,478.082834,models/FashionMNIST_ResNet50_bs16_SGD_lr0.0001_pinTrue_ep5.pth,0.849861,0.851429,0.851143
FashionMNIST,16,Adam,0.001,True,2,ResNet18,86.978571,111.529479,models/FashionMNIST_ResNet18_bs16_Adam_lr0.001_pinTrue_ep2.pth,0.871596,0.878517,0.869786
FashionMNIST,16,Adam,0.001,True,2,ResNet50,85.5,219.922212,models/FashionMNIST_ResNet50_bs16_Adam_lr0.001_pinTrue_ep2.pth,0.855832,0.857601,0.855
FashionMNIST,16,Adam,0.001,True,5,ResNet18,89.392857,278.202883,models/FashionMNIST_ResNet18_bs16_Adam_lr0.001_pinTrue_ep5.pth,0.892964,0.896845,0.893929
FashionMNIST,16,Adam,0.001,True,5,ResNet50,87.421429,552.127002,models/FashionMNIST_ResNet50_bs16_Adam_lr0.001_pinTrue_ep5.pth,0.873544,0.877529,0.874214
FashionMNIST,16,Adam,0.0001,True,2,ResNet18,86.071429,111.257844,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinTrue_ep2.pth,0.86207,0.870631,0.860714
FashionMNIST,16,Adam,0.0001,True,2,ResNet50,83.864286,219.916483,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinTrue_ep2.pth,0.840186,0.845841,0.838643
FashionMNIST,16,Adam,0.0001,True,5,ResNet18,89.35,278.839568,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinTrue_ep5.pth,0.893168,0.893754,0.8935
